name,status,detail,size_orig,size_compiled,first_diff_offset
NPC_Klara_Spi4ka.bin,OK_ROUNDTRIP,,16981,16981,
NPC_Klara_Starshina.bin,OK_ROUNDTRIP,,23678,23678,
NPC_Klara_Viktor.bin,OK_ROUNDTRIP,,23188,23188,
actor_disp.bin,OK_ROUNDTRIP,,848,848,
actor_item.bin,OK_ROUNDTRIP,,1773,1773,
actor_item_disp.bin,OK_ROUNDTRIP,,2068,2068,
actor_item_dummy.bin,OK_ROUNDTRIP,,158,158,
actor_item_stat.bin,OK_ROUNDTRIP,,1863,1863,
actor_item_steal.bin,OK_ROUNDTRIP,,1899,1899,
agony1.bin,BIN_MISMATCH,,5895,5895,0xad6
agony_simple.bin,OK_ROUNDTRIP,,662,662,
apparatus.bin,OK_ROUNDTRIP,,374,374,
arena_fighter.bin,LIFT_ERROR,JumpB target 0x122 not in current body,15369,0,
arena_manager.bin,LIFT_ERROR,unstructured Jump at 0x44f -> 0x456,17744,0,
arena_spectator.bin,OK_ROUNDTRIP,,332,332,
b4_boy.bin,LIFT_ERROR,unstructured Jump at 0x208 -> 0x21c,9862,0,
barrel_water.bin,OK_ROUNDTRIP,,1527,1527,
barricade.bin,OK_ROUNDTRIP,,1574,1574,
bed.bin,OK_ROUNDTRIP,,239,239,
big_gun.bin,OK_ROUNDTRIP,,431,431,
blood_dir.bin,OK_ROUNDTRIP,,955,955,
boiny_shaft_trigger.bin,OK_ROUNDTRIP,,621,621,
bomber.bin,SCOMP_ERROR,"Error during compilation: ""Variable ""_null_obj"" not found (compiling: ""t1::init"")""",21958,0,
bonfire.bin,OK_ROUNDTRIP,,1338,1338,
bonfire_disease.bin,OK_ROUNDTRIP,,1033,1033,
bonfire_geom.bin,OK_ROUNDTRIP,,1413,1413,
boy_mnogogrannik.bin,LIFT_ERROR,JumpB target 0x4a7 not in current body,30351,0,
bull.bin,OK_ROUNDTRIP,,1646,1646,
burah_father_door.bin,OK_ROUNDTRIP,,2162,2162,
citizen_alkash.bin,LIFT_ERROR,JumpB target 0xd6d not in current body,55447,0,
citizen_attack_melee.bin,LIFT_ERROR,JumpB target 0x394 not in current body,26866,0,
citizen_boy.bin,LIFT_ERROR,JumpB target 0xd6c not in current body,55212,0,
citizen_butcher.bin,LIFT_ERROR,JumpB target 0x4a7 not in current body,30444,0,
citizen_dog.bin,LIFT_ERROR,unstructured Jump at 0x81c -> 0x830,29309,0,
citizen_dohodyaga.bin,LIFT_ERROR,unstructured Jump at 0xd90 -> 0xda4,52634,0,
citizen_girl.bin,LIFT_ERROR,unstructured Jump at 0x4d4 -> 0x4e8,53463,0,
citizen_littleboy.bin,LIFT_ERROR,unstructured Jump at 0x4d4 -> 0x4e8,50565,0,
citizen_littlegirl.bin,LIFT_ERROR,unstructured Jump at 0x4d4 -> 0x4e8,33656,0,
citizen_morlok.bin,LIFT_ERROR,JumpB target 0x4a7 not in current body,30806,0,
citizen_nudegirl.bin,LIFT_ERROR,unstructured Jump at 0xba5 -> 0xbb9,46438,0,
citizen_unosha.bin,LIFT_ERROR,JumpB target 0xb9d not in current body,50936,0,
citizen_unosha_attacker.bin,LIFT_ERROR,JumpB target 0xa8a not in current body,48369,0,
citizen_vaxxabit.bin,LIFT_ERROR,unstructured Jump at 0x471 -> 0x485,27466,0,
citizen_vaxxabitka.bin,LIFT_ERROR,unstructured Jump at 0x471 -> 0x485,27715,0,
citizen_wasted_girl.bin,LIFT_ERROR,unstructured Jump at 0x71f -> 0x733,35053,0,
citizen_wasted_male.bin,LIFT_ERROR,JumpB target 0x5a8 not in current body,35138,0,
citizen_woman.bin,LIFT_ERROR,unstructured Jump at 0x7ae -> 0x7c2,39063,0,
citizen_woman_victim.bin,LIFT_ERROR,unstructured Jump at 0x548 -> 0x55c,26375,0,
citizen_worker.bin,LIFT_ERROR,JumpB target 0xcd5 not in current body,56822,0,
citizen_worker_attacker.bin,LIFT_ERROR,JumpB target 0xbc2 not in current body,54255,0,
citizen_zombie_man.bin,LIFT_ERROR,unstructured Jump at 0x49d -> 0x4b1,26666,0,
citizen_zombie_woman.bin,LIFT_ERROR,unstructured Jump at 0x49d -> 0x4b1,26666,0,
city.bin,BIN_MISMATCH,,2917,2853,0x12
container.bin,OK_ROUNDTRIP,,521,521,
container_disp.bin,OK_ROUNDTRIP,,892,892,
container_item.bin,OK_ROUNDTRIP,,1836,1836,
container_item_disp.bin,OK_ROUNDTRIP,,2280,2280,
container_kitchen_cabinet.bin,OK_ROUNDTRIP,,2716,2716,
container_kitchen_cabinet_h.bin,OK_ROUNDTRIP,,1521,1521,
container_rubbish.bin,OK_ROUNDTRIP,,1417,1417,
container_supply.bin,OK_ROUNDTRIP,,1473,1473,
container_tumba.bin,OK_ROUNDTRIP,,4099,4099,
container_tumba_h.bin,OK_ROUNDTRIP,,2259,2259,
container_wardrobe.bin,OK_ROUNDTRIP,,2652,2652,
container_wardrobe_h.bin,OK_ROUNDTRIP,,1941,1941,
corpse.bin,OK_ROUNDTRIP,,2484,2484,
